ref;value;footprint
C301;963-GMK316F106ZL-T;SM1206
C302;963-GMK316F106ZL-T;SM1206
C306;80-C1210C476M8P;SM1210
D201;78-VLMS1300-GS08;LED-0603
D202;78-VLMO1300-GS08;LED-0603
D203;78-VLMG1300-GS08;LED-0603
D301;512-BAS16SL;SOD923
J201;538-54819-0572;Molex_54819-0572
L301;810-SLF7045T-100M;IND_7x7x4.5
R113;603-PT1206FR-070R1L;SM1206
R114;603-PT1206FR-070R1L;SM1206
R115;603-PT1206FR-070R1L;SM1206
R116;603-PT1206FR-070R1L;SM1206
R117;603-PT1206FR-070R1L;SM1206
R118;603-PT1206FR-070R1L;SM1206
R302;71-CRCW0603-4.42K-E3;SM0603
R305;71-CRCW0603-30.9K-E3;SM0603
U102;595-DRV8825PWPR;HTSSOP28_PowerPad
U103;595-DRV8825PWPR;HTSSOP28_PowerPad
U104;595-DRV8825PWPR;HTSSOP28_PowerPad
U201;595-SN65HVD233D;SO8E
U202;511-STM32F103RGT6;LQFP64
U301;946-MP2303DNLF;SOIC8
X201;717-7C-16.000MBA-T;XTAL_5.0x3.2mm
